freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.219e+03,3.780e+01,1.556e+02,4.412e+03
1.5,2.673e+04,5.814e+01,4.598e+02,2.725e+04
3.0,8.711e+03,4.205e+01,5.097e+02,9.263e+03
4.5,3.356e+03,4.364e+01,4.834e+02,3.883e+03
6.0,2.616e+03,4.442e+01,4.355e+02,3.095e+03
7.6,2.399e+03,4.485e+01,5.023e+02,2.946e+03
9.1,2.876e+03,4.553e+01,4.590e+02,3.381e+03
10.6,3.657e+03,4.585e+01,4.770e+02,4.180e+03
12.1,4.576e+03,4.717e+01,4.449e+02,5.068e+03
13.6,5.672e+03,5.405e+01,4.332e+02,6.159e+03
15.1,6.739e+03,6.107e+01,4.691e+02,7.269e+03
16.6,7.544e+03,6.563e+01,5.119e+02,8.122e+03
18.1,9.316e+03,6.693e+01,4.566e+02,9.840e+03
19.6,1.205e+04,7.192e+01,4.430e+02,1.257e+04
21.2,1.521e+04,8.162e+01,4.399e+02,1.573e+04
22.7,1.878e+04,9.510e+01,4.457e+02,1.932e+04
24.2,2.267e+04,1.393e+02,4.948e+02,2.330e+04
25.7,2.842e+04,1.888e+02,5.571e+02,2.916e+04
27.2,3.550e+04,1.841e+02,4.994e+02,3.619e+04
28.7,4.557e+04,2.158e+02,5.428e+02,4.633e+04
30.2,5.724e+04,2.782e+02,5.668e+02,5.809e+04
31.7,7.142e+04,5.231e+02,5.477e+02,7.249e+04
33.2,8.454e+04,8.396e+02,5.012e+02,8.588e+04
34.7,9.610e+04,9.210e+02,5.854e+02,9.761e+04
36.3,1.106e+05,9.006e+02,5.699e+02,1.120e+05
37.8,1.403e+05,1.218e+03,5.518e+02,1.421e+05
39.3,1.834e+05,2.319e+03,7.470e+02,1.865e+05
40.8,2.486e+05,4.409e+03,1.263e+03,2.543e+05
42.3,3.423e+05,6.784e+03,2.546e+03,3.516e+05
43.8,4.750e+05,7.268e+03,4.027e+03,4.863e+05
45.3,6.897e+05,5.891e+03,7.745e+03,7.033e+05
46.8,1.014e+06,3.970e+03,1.629e+04,1.034e+06
48.3,1.528e+06,2.552e+03,3.263e+04,1.564e+06
49.9,2.080e+06,2.352e+03,5.580e+04,2.139e+06
51.4,2.341e+06,2.417e+03,7.253e+04,2.416e+06
52.9,2.063e+06,2.911e+03,6.945e+04,2.135e+06
54.4,1.607e+06,3.809e+03,5.576e+04,1.666e+06
55.9,1.195e+06,4.049e+03,4.086e+04,1.240e+06
57.4,8.976e+05,3.403e+03,3.191e+04,9.329e+05
58.9,6.921e+05,2.692e+03,2.715e+04,7.220e+05
60.4,5.452e+05,2.435e+03,2.465e+04,5.723e+05
61.9,4.368e+05,2.263e+03,2.311e+04,4.621e+05
63.5,3.547e+05,2.156e+03,2.210e+04,3.789e+05
65.0,2.947e+05,2.317e+03,2.098e+04,3.180e+05
66.5,2.506e+05,2.375e+03,1.958e+04,2.726e+05
68.0,2.158e+05,2.019e+03,1.746e+04,2.353e+05
69.5,1.915e+05,1.413e+03,1.538e+04,2.083e+05
71.0,1.730e+05,9.287e+02,1.427e+04,1.882e+05
72.5,1.583e+05,7.136e+02,1.390e+04,1.729e+05
74.0,1.500e+05,7.187e+02,1.475e+04,1.655e+05
75.5,1.441e+05,7.511e+02,1.610e+04,1.610e+05
77.0,1.386e+05,7.920e+02,1.755e+04,1.569e+05
78.6,1.298e+05,8.474e+02,1.845e+04,1.491e+05
80.1,1.213e+05,9.374e+02,1.921e+04,1.415e+05
81.6,1.116e+05,9.876e+02,1.953e+04,1.321e+05
83.1,1.076e+05,1.284e+03,2.022e+04,1.291e+05
84.6,1.051e+05,1.660e+03,2.030e+04,1.271e+05
86.1,1.047e+05,2.002e+03,2.046e+04,1.271e+05
87.6,1.041e+05,2.251e+03,2.066e+04,1.270e+05
89.1,1.050e+05,2.820e+03,2.162e+04,1.294e+05
90.6,1.063e+05,3.572e+03,2.292e+04,1.328e+05
92.2,1.088e+05,4.629e+03,2.643e+04,1.398e+05
93.7,1.103e+05,5.422e+03,3.039e+04,1.461e+05
95.2,1.129e+05,5.760e+03,3.512e+04,1.538e+05
96.7,1.227e+05,6.104e+03,4.390e+04,1.727e+05
98.2,1.384e+05,7.529e+03,5.707e+04,2.030e+05
99.7,1.542e+05,1.052e+04,7.206e+04,2.368e+05
