freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.077e+01,4.378e+03,3.477e+02,4.747e+03
1.5,8.123e+01,2.664e+04,3.170e+02,2.704e+04
3.0,5.584e+01,8.707e+03,1.759e+02,8.939e+03
4.5,4.510e+01,3.405e+03,1.716e+02,3.622e+03
6.0,4.937e+01,2.647e+03,1.744e+02,2.871e+03
7.6,4.955e+01,2.514e+03,1.826e+02,2.746e+03
9.1,4.850e+01,3.149e+03,1.782e+02,3.376e+03
10.6,4.673e+01,4.172e+03,1.936e+02,4.413e+03
12.1,5.446e+01,5.389e+03,1.947e+02,5.638e+03
13.6,5.601e+01,7.033e+03,2.076e+02,7.296e+03
15.1,5.904e+01,1.000e+04,1.799e+02,1.024e+04
16.6,6.442e+01,1.312e+04,1.743e+02,1.335e+04
18.1,6.493e+01,1.235e+04,1.789e+02,1.259e+04
19.6,6.010e+01,1.224e+04,2.159e+02,1.251e+04
21.1,5.846e+01,1.635e+04,2.340e+02,1.665e+04
22.7,5.695e+01,2.335e+04,2.867e+02,2.369e+04
24.2,6.695e+01,3.253e+04,3.855e+02,3.299e+04
25.7,9.069e+01,4.626e+04,5.376e+02,4.688e+04
27.2,1.017e+02,6.535e+04,9.216e+02,6.637e+04
28.7,1.179e+02,9.972e+04,1.750e+03,1.016e+05
30.2,1.549e+02,1.540e+05,3.585e+03,1.577e+05
31.7,2.250e+02,3.015e+05,1.551e+04,3.173e+05
33.2,4.202e+02,6.225e+05,5.534e+04,6.783e+05
34.7,4.879e+02,1.356e+06,1.733e+05,1.530e+06
36.3,7.337e+02,2.452e+06,4.447e+05,2.897e+06
37.8,8.364e+02,2.596e+06,6.984e+05,3.295e+06
39.3,9.616e+02,1.691e+06,7.129e+05,2.405e+06
40.8,1.454e+03,8.965e+05,5.993e+05,1.497e+06
42.3,1.961e+03,5.438e+05,6.822e+05,1.228e+06
43.8,2.052e+03,3.546e+05,9.635e+05,1.320e+06
45.3,2.172e+03,3.618e+05,1.034e+06,1.398e+06
46.8,2.184e+03,3.404e+05,8.600e+05,1.203e+06
48.3,4.843e+03,2.895e+05,6.909e+05,9.853e+05
49.8,1.034e+04,2.262e+05,4.995e+05,7.360e+05
51.4,1.377e+04,1.971e+05,3.345e+05,5.454e+05
52.9,1.699e+04,1.682e+05,2.029e+05,3.881e+05
54.4,2.091e+04,1.485e+05,1.357e+05,3.051e+05
55.9,1.871e+04,1.284e+05,9.491e+04,2.420e+05
57.4,1.428e+04,1.129e+05,7.351e+04,2.006e+05
58.9,1.124e+04,1.003e+05,6.123e+04,1.727e+05
60.4,7.670e+03,9.475e+04,5.253e+04,1.549e+05
61.9,6.036e+03,9.340e+04,4.468e+04,1.441e+05
63.4,5.164e+03,9.541e+04,3.835e+04,1.389e+05
65.0,4.682e+03,9.915e+04,3.407e+04,1.379e+05
66.5,4.682e+03,1.052e+05,3.031e+04,1.402e+05
68.0,4.907e+03,1.106e+05,2.751e+04,1.430e+05
69.5,5.154e+03,1.098e+05,2.414e+04,1.391e+05
71.0,5.044e+03,9.890e+04,2.110e+04,1.250e+05
72.5,4.568e+03,7.696e+04,1.684e+04,9.837e+04
74.0,3.314e+03,5.514e+04,1.387e+04,7.232e+04
75.5,2.565e+03,3.942e+04,1.228e+04,5.427e+04
77.0,2.601e+03,3.068e+04,1.113e+04,4.441e+04
78.5,2.205e+03,2.308e+04,9.264e+03,3.455e+04
80.1,1.614e+03,1.852e+04,7.867e+03,2.800e+04
81.6,1.315e+03,1.586e+04,6.052e+03,2.323e+04
83.1,1.373e+03,1.435e+04,4.763e+03,2.049e+04
84.6,1.438e+03,1.464e+04,3.872e+03,1.995e+04
86.1,1.774e+03,1.505e+04,3.685e+03,2.051e+04
87.6,2.308e+03,1.562e+04,3.843e+03,2.177e+04
89.1,3.442e+03,2.130e+04,4.157e+03,2.889e+04
90.6,4.862e+03,2.973e+04,5.164e+03,3.975e+04
92.1,6.635e+03,3.527e+04,7.072e+03,4.898e+04
93.6,8.414e+03,3.526e+04,9.290e+03,5.296e+04
95.2,1.028e+04,3.223e+04,1.069e+04,5.320e+04
96.7,1.163e+04,2.996e+04,1.085e+04,5.244e+04
98.2,9.923e+03,2.359e+04,9.834e+03,4.334e+04
99.7,8.362e+03,1.672e+04,9.051e+03,3.414e+04
101.2,7.126e+03,1.078e+04,9.270e+03,2.718e+04
102.7,7.266e+03,6.123e+03,1.010e+04,2.349e+04
104.2,9.197e+03,3.847e+03,9.521e+03,2.256e+04
105.7,9.260e+03,2.773e+03,7.684e+03,1.972e+04
107.2,7.073e+03,3.581e+03,6.067e+03,1.672e+04
108.8,4.894e+03,7.146e+03,5.579e+03,1.762e+04
110.3,3.683e+03,1.182e+04,5.275e+03,2.078e+04
111.8,3.407e+03,1.861e+04,5.439e+03,2.745e+04
113.3,3.719e+03,2.398e+04,5.725e+03,3.342e+04
114.8,5.002e+03,2.785e+04,6.164e+03,3.901e+04
116.3,6.539e+03,3.086e+04,6.743e+03,4.414e+04
117.8,8.245e+03,3.244e+04,6.923e+03,4.761e+04
119.3,1.065e+04,3.249e+04,8.565e+03,5.170e+04
120.8,1.199e+04,3.022e+04,9.647e+03,5.186e+04
122.3,1.396e+04,3.187e+04,1.134e+04,5.718e+04
123.9,1.514e+04,3.321e+04,1.162e+04,5.997e+04
125.4,1.643e+04,3.024e+04,1.058e+04,5.725e+04
126.9,1.679e+04,2.663e+04,9.827e+03,5.324e+04
128.4,1.691e+04,2.631e+04,1.051e+04,5.373e+04
129.9,2.067e+04,2.912e+04,1.193e+04,6.172e+04
131.4,2.596e+04,2.897e+04,1.385e+04,6.879e+04
132.9,2.827e+04,2.889e+04,1.488e+04,7.204e+04
134.4,2.410e+04,2.328e+04,1.147e+04,5.885e+04
135.9,2.241e+04,1.812e+04,6.814e+03,4.735e+04
137.5,2.297e+04,1.692e+04,7.028e+03,4.693e+04
139.0,2.040e+04,1.551e+04,6.380e+03,4.229e+04
140.5,1.735e+04,1.427e+04,5.712e+03,3.734e+04
142.0,1.580e+04,1.249e+04,5.952e+03,3.425e+04
143.5,1.489e+04,1.210e+04,6.241e+03,3.322e+04
145.0,1.301e+04,1.087e+04,6.641e+03,3.051e+04
146.5,1.162e+04,8.924e+03,6.735e+03,2.728e+04
148.0,9.775e+03,7.033e+03,6.351e+03,2.316e+04
149.5,9.308e+03,7.208e+03,7.053e+03,2.357e+04
151.0,8.361e+03,5.945e+03,7.036e+03,2.134e+04
152.6,7.005e+03,4.644e+03,6.101e+03,1.775e+04
154.1,7.059e+03,5.016e+03,6.084e+03,1.816e+04
155.6,6.480e+03,4.207e+03,5.240e+03,1.593e+04
157.1,5.968e+03,3.822e+03,4.972e+03,1.476e+04
158.6,6.369e+03,4.365e+03,5.211e+03,1.594e+04
160.1,6.396e+03,4.688e+03,5.235e+03,1.632e+04
161.6,5.683e+03,4.046e+03,5.642e+03,1.537e+04
163.1,4.653e+03,4.232e+03,4.382e+03,1.327e+04
164.6,4.376e+03,4.296e+03,3.955e+03,1.263e+04
166.2,3.663e+03,3.361e+03,3.417e+03,1.044e+04
167.7,3.897e+03,3.675e+03,3.630e+03,1.120e+04
169.2,3.985e+03,3.492e+03,3.856e+03,1.133e+04
170.7,3.635e+03,3.638e+03,3.567e+03,1.084e+04
172.2,4.199e+03,4.710e+03,4.078e+03,1.299e+04
173.7,4.825e+03,5.230e+03,4.071e+03,1.413e+04
175.2,5.044e+03,5.398e+03,3.561e+03,1.400e+04
176.7,6.183e+03,7.168e+03,3.033e+03,1.638e+04
178.2,6.286e+03,6.565e+03,3.130e+03,1.598e+04
179.7,6.176e+03,7.065e+03,3.816e+03,1.706e+04
181.3,6.206e+03,7.680e+03,4.372e+03,1.826e+04
182.8,5.883e+03,7.383e+03,4.201e+03,1.747e+04
184.3,5.822e+03,8.079e+03,4.173e+03,1.807e+04
185.8,5.775e+03,7.389e+03,4.201e+03,1.737e+04
187.3,5.437e+03,6.791e+03,3.841e+03,1.607e+04
188.8,4.918e+03,7.704e+03,4.342e+03,1.696e+04
190.3,4.794e+03,7.163e+03,5.094e+03,1.705e+04
191.8,4.443e+03,7.275e+03,4.643e+03,1.636e+04
193.3,5.121e+03,9.759e+03,4.867e+03,1.975e+04
194.9,4.979e+03,9.325e+03,4.772e+03,1.908e+04
196.4,5.259e+03,8.890e+03,4.374e+03,1.852e+04
197.9,5.078e+03,1.280e+04,4.025e+03,2.190e+04
199.4,5.430e+03,1.451e+04,4.066e+03,2.401e+04
200.9,5.530e+03,1.318e+04,4.447e+03,2.315e+04
202.4,5.958e+03,1.922e+04,4.665e+03,2.984e+04
